Tsintsadze (ცინცაძე)
Tsitsishvili (ციციშვილი)
Tsiklauri (წიკლაური)
Tskitishvili (ცქიტიშვილი)
Tsulukidze (წულუკიძე)
Tomadze (თომაძე)
Tomashvili (თომაშვილი)
Toreli (თორელი)
Tugushi (ტუღუში)
Tumanishvili (თუმანიშვილი)
Tusishvili (ტუსიშვილი)
Tavkhelidze (თავხელიძე)
Tsenteradze (ცენტერაძე)
Titilokashvili(თითილოკაშვილი)
Tvauri (თვაური)
U (უ)
Ujmajuridze (უჯმაჯურიძე)
Undiladze (უნდილაძე)
Urushadze (ურუშაძე)
Urjumelashvili (ურჯუმელაშვილი)
V (ვ)
Vachnadze (ვაჩნაძე)
Vakhvakhishvili (ვახვახიშვილი)
Vardanidze (ვარდანიძე)
Vardiashvili (ვარდიაშვილი)
Vezirishvili (ვეზირიშვილი)
Virsaladze (ვირსალაძე)
Z (ზ, ჟ)
Zambakhidze (ზამბახიძე)
Zalkaliani (ზალკალიანი)
Zamtaradze (ზამთარაძე)
Zandaradze (ზანდარაძე)
Zakarashvili (ზაქარაშვილი)
Zakareishvili (ზაქარეიშვილი)
Zakariadze (ზაქარიაძე)
Zibzibadze (ზიბზიბაძე)
Zumadze (ზუმაძე)
Zurabashvili (ზურაბაშვილი)
Zurabishvili (ზურაბიშვილი)
Zurabiani (ზურაბიანი)
Zhorzholiani (ჟორჟოლიანი)
Zhozhikashvili (ჟოჟიკაშვილი)
Zoidze (ზოიძე)
Zotikishvili (ზოტიკიშვილი)
Zviadadze (ზვიადაძე)
